Index,Quantity,Cancelled,Quantity Shipped,Part Number,Description,Customer Reference,Backorder,Unit Price (CAD),Extended Price
1,6,0,6,1276-2405-1-ND,CAP CER 10UF 6.3V X5R 0805,,0,0.16000 ,$0.96 
2,10,0,10,1276-1178-1-ND,CAP CER 12PF 50V C0G/NP0 0402,,0,0.03700 ,$0.37 
3,12,0,12,311-4.7KLRCT-ND,RES SMD 4.7K OHM 1% 1/16W 0402,,0,0.02400 ,$0.29 
4,6,0,6,609-3695-1-ND,CONN HEADER SMD 10POS 1.27MM,,0,1.21000 ,$7.26 
5,3,0,3,LM3671MF-ADJ/NOPBCT-ND,IC REG BCK ADJ 0.6A SYNC SOT23-5,,0,2.19000 ,$6.57 
6,10,0,10,1276-1044-1-ND,CAP CER 4.7UF 10V X5R 0603,,0,0.15600 ,$1.56 
7,18,0,18,1276-1443-1-ND,CAP CER 0.1UF 10V X5R 0402,,0,0.03400 ,$0.61 
8,3,0,3,455-1749-1-ND,CONN HEADER SMD R/A 2POS 2MM,,0,0.83000 ,$2.49 
9,3,0,3,732-2613-1-ND,FIXED IND 2.2UH 1.8A 66 MOHM SMD,,0,2.35000 ,$7.05 
10,3,0,3,MCP73831T-2DCI/OTCT-ND,IC CONTROLLR LI-ION 4.2V SOT23-5,,0,0.89000 ,$2.67 
11,3,0,3,296-38560-1-ND,IC RF TXRX+MCU ISM<1GHZ 36-VFQFN,,0,9.11000 ,$27.33 
12,3,0,3,644-1052-1-ND,CRYSTAL 24.0000MHZ 8PF SMD,,0,1.08000 ,$3.24 
13,10,0,10,1276-1235-1-ND,CAP CER 1UF 6.3V X5R 0402,,0,0.03400 ,$0.34 
14,3,0,3,ANT-916-JJB-RA-ND,RF ANT 916MHZ DOME SLD TH 7MM,,0,3.70000 ,$11.10 
15,3,0,3,401-2016-1-ND,SWITCH SLIDE SPDT 300MA 6V,,0,1.31000 ,$3.93 
16,3,0,3,1446-1035-1-ND,RF TXRX MOD BLUETOOTH CHIP ANT,,0,17.21000 ,$51.63 
17,6,0,6,511-1299-1-ND,LED GREEN CLEAR 0603 SMD,,0,0.56000 ,$3.36 
18,10,0,10,311-2.0KJRCT-ND,RES SMD 2K OHM 5% 1/16W 0402,,0,0.02000 ,$0.20 
19,10,0,10,311-56.0KLRCT-ND,RES SMD 56K OHM 1% 1/16W 0402,,0,0.02400 ,$0.24 
20,3,0,3,H2959CT-ND,CONN RCPT USB2.0 MINI B SMD R/A,,0,1.42000 ,$4.26 
21,10,0,10,311-330JRCT-ND,RES SMD 330 OHM 5% 1/16W 0402,,0,0.02000 ,$0.20 
22,3,0,3,160-1447-1-ND,LED RED CLEAR SMD,,0,0.42000 ,$1.26 
23,6,0,6,LNJ937W8CRACT-ND,LED BLUE ESS II SMD,,0,0.73000 ,$4.38 
24,3,0,3,712-1541-1-ND,BALUN 902MHZ-928MHZ 0805,,0,1.15000 ,$3.45 
